timestamp,min,avg,max,mdev
2024-05-12 08:47:42,29.282,42.228,59.982,8.193
2024-05-12 08:49:40,20.956,31.110,45.416,6.098
2024-05-12 08:50:40,23.804,37.754,61.206,9.422
2024-05-12 08:51:40,26.025,37.658,59.072,7.893
2024-05-12 08:52:41,22.258,31.807,57.518,8.511
2024-05-12 08:53:40,20.841,31.527,59.299,7.205
2024-05-12 08:54:40,24.735,48.932,119.085,19.745
2024-05-12 08:55:40,21.905,45.536,87.483,16.496
2024-05-12 08:56:40,23.060,39.584,64.046,8.291
2024-05-12 08:57:41,25.270,34.083,74.032,9.060
2024-05-12 08:59:40,21.533,30.585,41.185,4.521
2024-05-12 09:00:40,21.309,34.509,52.302,7.878
2024-05-12 09:01:40,22.628,34.257,48.729,6.846
2024-05-12 09:02:41,23.511,38.996,59.298,9.445
2024-05-12 09:03:40,22.723,33.241,42.971,4.355
2024-05-12 09:04:40,21.411,29.091,44.210,5.699
2024-05-12 09:05:40,21.600,31.866,52.038,7.207
2024-05-12 09:06:40,23.245,32.271,54.410,6.646
2024-05-12 09:07:41,22.216,38.821,88.517,17.318
2024-05-12 09:09:40,20.407,32.080,43.686,5.117
2024-05-12 09:10:40,24.402,36.513,60.509,7.997
2024-05-12 09:11:40,23.299,33.851,49.360,7.170
2024-05-12 09:12:42,21.839,32.472,45.239,6.518
2024-05-12 09:13:40,21.959,31.260,39.534,4.535
2024-05-12 09:14:40,19.981,44.006,84.641,15.343
2024-05-12 09:15:40,22.288,35.378,60.913,8.738
2024-05-12 09:16:40,21.910,30.846,43.805,5.858
2024-05-12 09:17:42,24.831,38.157,55.074,7.895
2024-05-12 09:19:40,22.240,33.498,60.853,7.878
2024-05-12 09:20:40,23.116,37.998,69.083,11.829
2024-05-12 09:21:40,22.181,31.526,41.781,5.100
2024-05-12 09:22:42,21.157,32.874,89.010,11.736
2024-05-12 09:23:41,23.393,41.059,66.534,10.651
2024-05-12 09:24:41,21.589,34.249,78.080,9.555
2024-05-12 09:25:41,23.081,43.741,140.476,19.131
2024-05-12 09:26:41,22.325,36.814,107.675,13.677
2024-05-12 09:27:42,24.907,35.675,68.489,11.152
2024-05-12 09:29:41,23.074,36.471,95.330,14.624
2024-05-12 09:30:41,21.242,34.718,66.559,9.127
2024-05-12 09:31:41,22.298,34.709,92.613,12.426
2024-05-12 09:32:42,22.267,29.965,40.323,4.484
2024-05-12 09:33:40,21.849,29.307,38.346,4.060
2024-05-12 09:34:40,20.406,33.489,47.042,6.808
2024-05-12 09:35:40,26.470,41.260,105.728,15.883
2024-05-12 09:36:40,23.573,32.230,46.522,4.941
2024-05-12 09:37:41,21.637,31.168,44.581,5.751
2024-05-12 09:39:40,21.720,33.992,55.697,8.372
2024-05-12 09:40:40,23.811,34.235,56.086,7.075
2024-05-12 09:41:40,23.320,36.306,56.722,6.308
2024-05-12 09:42:41,24.614,34.308,53.612,6.773
2024-05-12 09:43:40,21.279,34.379,73.951,11.152
2024-05-12 09:44:40,21.052,33.323,83.405,10.942
2024-05-12 09:45:40,20.946,34.306,69.137,10.280
2024-05-12 09:46:40,22.520,32.743,48.998,6.172
2024-05-12 09:47:41,21.141,29.062,41.787,5.418
2024-05-12 09:49:40,23.414,33.292,49.858,5.507
2024-05-12 09:50:40,23.423,38.125,75.620,14.424
2024-05-12 09:51:40,26.528,42.712,62.890,9.611
2024-05-12 09:52:41,21.476,31.304,44.529,6.417
2024-05-12 09:53:40,32.560,37.636,45.845,3.378
2024-05-12 09:54:40,21.915,32.143,48.906,6.043
2024-05-12 09:55:40,22.104,32.509,50.880,7.320
2024-05-12 09:56:40,20.946,35.018,50.468,7.211
2024-05-12 09:57:41,21.733,32.448,58.817,7.899
2024-05-12 09:59:40,21.240,31.942,45.521,5.343
2024-05-12 10:00:40,23.484,33.444,59.990,8.215
2024-05-12 10:01:40,21.658,29.238,41.954,4.371
2024-05-12 10:02:41,22.130,31.063,50.084,6.955
2024-05-12 10:03:40,22.302,37.876,48.614,6.835
2024-05-12 10:04:40,25.769,37.110,60.410,8.297
2024-05-12 10:05:40,24.470,39.622,63.959,10.499
2024-05-12 10:06:40,21.346,39.466,60.796,8.582
2024-05-12 10:07:41,21.190,30.443,54.688,7.942
2024-05-12 10:09:40,23.452,38.576,49.836,7.035
2024-05-12 10:10:40,25.148,55.804,104.820,15.627
2024-05-12 10:11:40,24.882,41.387,77.333,11.171
2024-05-12 10:12:41,22.813,42.917,96.628,15.574
2024-05-12 10:13:40,21.397,33.275,53.379,7.452
2024-05-12 10:14:40,22.118,35.586,66.404,11.380
2024-05-12 10:15:40,23.512,33.099,53.385,6.739
2024-05-12 10:16:40,22.269,34.653,54.738,8.921
2024-05-12 10:17:41,20.696,29.531,42.989,5.336
2024-05-12 10:19:40,23.533,29.820,40.433,4.461
2024-05-12 10:20:40,23.021,33.067,47.651,6.232
2024-05-12 10:21:40,27.134,37.049,68.690,8.487
2024-05-12 10:22:42,28.405,40.104,50.258,6.485
2024-05-12 10:23:40,21.749,29.663,40.795,4.904
2024-05-12 10:24:40,21.061,38.066,67.403,11.966
2024-05-12 10:25:40,21.721,37.588,61.304,9.589
2024-05-12 10:26:40,21.602,30.947,40.328,4.891
2024-05-12 10:27:42,23.317,34.937,101.993,15.940
2024-05-12 10:29:40,21.455,38.948,66.068,9.637
2024-05-12 10:30:40,21.640,35.130,62.640,8.881
2024-05-12 10:31:40,23.627,35.896,57.616,8.973
2024-05-12 10:32:42,34.917,43.835,55.110,6.914
2024-05-12 10:33:40,21.746,28.269,39.469,3.927
2024-05-12 10:34:40,31.891,39.750,64.894,6.875
2024-05-12 10:35:40,21.578,33.390,47.797,7.248
2024-05-12 10:36:40,21.968,30.181,41.012,4.893
2024-05-12 10:37:42,22.184,29.521,40.476,4.856
2024-05-12 10:39:41,21.636,33.945,47.004,6.897
2024-05-12 10:40:42,24.015,45.222,70.172,12.744
2024-05-12 10:41:42,22.221,38.773,144.102,18.264
2024-05-12 10:42:42,22.799,31.551,39.689,4.947
2024-05-12 10:43:41,22.360,32.717,98.801,13.106
2024-05-12 10:44:41,23.442,39.166,112.405,17.614
2024-05-12 10:45:41,25.346,42.571,88.090,13.655
2024-05-12 10:46:41,22.184,33.217,91.034,11.076
2024-05-12 10:47:41,20.703,31.099,42.437,5.795
2024-05-12 10:49:40,25.736,33.665,57.848,6.230
2024-05-12 10:50:40,22.134,36.929,83.534,13.029
2024-05-12 10:51:40,22.651,34.042,54.774,6.597
2024-05-12 10:52:41,27.483,46.505,68.569,8.478
2024-05-12 10:53:40,22.337,31.820,43.746,5.063
2024-05-12 10:54:40,24.180,33.931,51.169,7.111
2024-05-12 10:55:40,23.427,36.030,57.781,7.844
2024-05-12 10:56:40,24.866,38.308,115.881,14.785
2024-05-12 10:57:41,20.225,30.468,45.209,7.112
2024-05-12 10:59:40,23.812,44.088,74.776,11.715
2024-05-12 11:00:40,22.094,40.182,63.446,9.531
2024-05-12 11:01:40,27.257,43.175,113.789,14.646
2024-05-12 11:02:41,25.157,41.956,60.506,8.009
2024-05-12 11:03:40,21.850,31.880,43.478,4.848
2024-05-12 11:04:40,30.829,40.928,68.082,7.617
